Date,Surface,Best of,player_name,opponent_name,player_rank,player_elo,opponent_rank,opponent_elo,ewma_form,ewma_serve,ewma_return,ewma_surface,days_rest,result,total_games
2015-01-04,Hard,3,Federer R.,Duckworth J.,2.0,1548.7362315832677,125.0,1531.9661669788793,0.5,0.6,0.6,0.5,10.0,1,13.0
2015-01-04,Hard,3,Nieminen J.,Kudla D.,73.0,1500.0,123.0,1500.0,0.0,0.6956521739130435,0.3421052631578947,0.0,0.0,1,27.0
2015-01-04,Hard,3,Johnson S.,Matosevic M.,37.0,1500.0,77.0,1500.0,0.0,0.6721311475409836,0.25373134328358204,0.0,0.0,1,33.0
2015-01-04,Hard,3,Tomic B.,Querrey S.,53.0,1500.0,35.0,1500.0,0.0,0.5294117647058824,0.1578947368421053,0.0,0.0,1,25.0
2015-01-04,Hard,3,Duckworth J.,Nieminen J.,125.0,1500.0,73.0,1516.0,0.0,0.3157894736842105,0.16666666666666663,0.0,0.0,1,32.0
2015-01-04,Hard,3,Federer R.,Millman J.,2.0,1500.0,153.0,1516.0,1.0,0.8333333333333334,0.6842105263157895,1.0,0.0,1,29.0
2015-01-04,Hard,3,Chardy J.,Golubev A.,31.0,1500.0,72.0,1500.0,0.0,0.6349206349206349,0.3551401869158879,0.0,0.0,1,20.0
2015-01-04,Hard,3,Dimitrov G.,Chardy J.,11.0,1500.0,31.0,1516.0,0.0,0.5208333333333334,0.25,0.0,0.0,1,32.0
2015-01-04,Hard,3,Groth S.,Kubot L.,85.0,1500.0354661910467,177.0,1516.0,0.6,0.7680935105682629,0.25967741935483873,0.5333333333333333,0.0,1,36.0
2015-01-04,Hard,3,Duckworth J.,Simon G.,125.0,1516.736306793522,21.0,1500.0,0.6,0.3378607809847199,0.17554932211313695,0.5333333333333333,0.0,1,16.0
2015-01-04,Hard,3,Raonic M.,Kukushkin M.,8.0,1516.7347488338505,69.0,1516.0,0.0,0.6574074074074074,0.30000000000000004,0.0,0.0,1,19.0
2015-01-04,Hard,3,Tomic B.,Kokkinakis T.,53.0,1499.26213844487,149.0,1516.0,0.6,0.5430148599029054,0.16706281833616304,0.5333333333333333,0.0,1,20.0
