GAME_ID,TEAM_ID,TEAM_NAME,GAME_DATE,MATCHUP,WL,PTS,FGA,FTA,TOV,OREB,IS_HOME_x,OFF_RTG,PACE,ELO_START,IS_HOME_y,EWMA_OFF_RTG,EWMA_PACE,EWMA_PTS
21601158,1610612743,1610612743,2017-04-04,0,W,134.0,88,22,14,10,0,131.78599527930763,101.68,1527.8631821127813,0,112.40709232419543,101.68,114.29553147524192
21601168,1610612743,1610612743,2017-04-05,0,L,104.0,88,22,14,10,0,102.28166797797009,101.68,1547.0011565129557,0,115.93052922512491,101.68,117.87816211610703
21601184,1610612743,1610612743,2017-04-07,0,W,122.0,88,22,14,10,1,119.9842643587726,101.68,1536.930515082211,1,113.44891808927858,101.68,115.35485991317849
21601198,1610612743,1610612743,2017-04-09,0,L,105.0,88,22,14,10,1,103.26514555468134,101.68,1555.128055965666,1,114.63716286555021,101.68,116.56306720169148
21601214,1610612743,1610612743,2017-04-11,0,W,109.0,88,22,14,10,0,107.19905586152636,101.68,1544.9279250185873,0,112.56952335448315,101.68,114.46069134683847
21601225,1610612743,1610612743,2017-04-12,0,W,111.0,88,22,14,10,0,109.16601101494885,101.68,1569.259948092118,0,111.5930747194001,101.68,113.46783837468602
11700001,1610612743,1610612743,2017-09-30,0,W,108.0,88,22,14,10,0,106.2155782848151,101.68,1527.8524092691619,0,111.15179040949987,101.68,113.01914048837946
11700011,1610612743,1610612743,2017-10-02,0,W,113.0,88,22,14,10,0,111.13296616837135,101.68,1557.4659329262481,0,110.25429729592082,101.68,112.10656949049229
11700022,1610612743,1610612743,2017-10-04,0,W,122.0,88,22,14,10,0,119.9842643587726,101.68,1569.604090742928,0,110.41405527273002,101.68,112.26901140131187
11700041,1610612743,1610612743,2017-10-08,0,L,100.0,88,22,14,10,0,98.3477576711251,101.68,1586.1198184511204,0,112.15409328837414,101.68,114.0382820556188
11700056,1610612743,1610612743,2017-10-10,0,L,86.0,88,22,14,10,1,84.57907159716757,101.68,1559.6579929183329,1,109.6438504488743,101.68,111.48586713641538
21700010,1610612743,1610612743,2017-10-18,0,L,96.0,88,22,14,10,0,94.41384736428009,101.68,1593.2552967157594,0,105.08661793038216,101.68,106.85207311161257
21700035,1610612743,1610612743,2017-10-21,0,W,96.0,88,22,14,10,1,94.41384736428009,101.68,1580.5530028169076,1,103.14611419109087,101.68,104.87896890950121
21700047,1610612743,1610612743,2017-10-23,0,L,104.0,88,22,14,10,1,102.28166797797009,101.68,1588.4052994530682,1,101.55842931348892,101.68,103.26461092595554
21700055,1610612743,1610612743,2017-10-25,0,L,93.0,88,22,14,10,0,91.46341463414633,101.68,1564.5342556740309,0,101.68992725248549,101.68,103.39831803032727
21700072,1610612743,1610612743,2017-10-27,0,W,105.0,88,22,14,10,0,103.26514555468134,101.68,1531.3840002687718,0,99.83056132187838,101.68,101.50771475208595
21700087,1610612743,1610612743,2017-10-29,0,W,124.0,88,22,14,10,0,121.95121951219512,101.68,1548.944912471416,0,100.45503118238801,101.68,102.14267570625215
21700094,1610612743,1610612743,2017-10-30,0,L,110.0,88,22,14,10,0,108.1825334382376,101.68,1570.0104235412055,0,104.36342906053477,101.68,106.11673466875176
21700114,1610612743,1610612743,2017-11-01,0,W,129.0,88,22,14,10,1,126.86860739575137,101.68,1545.484312532945,1,105.05781167466256,101.68,106.8227829107969
21700127,1610612743,1610612743,2017-11-03,0,W,95.0,88,22,14,10,1,93.43036978756884,101.68,1578.5673899381866,1,109.0234108966787,101.68,110.85500419974294
21700135,1610612743,1610612743,2017-11-04,0,L,108.0,88,22,14,10,1,106.2155782848151,101.68,1582.1372751581582,1,106.18831251320418,101.68,107.97227616342602
21700155,1610612743,1610612743,2017-11-07,0,W,112.0,88,22,14,10,1,110.14948859166009,101.68,1561.929520494235,1,106.19326992622435,101.68,107.97731686098493
21700168,1610612743,1610612743,2017-11-09,0,W,102.0,88,22,14,10,1,100.3147128245476,101.68,1567.3556914691965,1,106.91258241084901,101.68,108.70871379535131
21700185,1610612743,1610612743,2017-11-11,0,W,125.0,88,22,14,10,1,122.93469708890636,101.68,1579.835889249191,1,105.71296975879422,101.68,107.48894765074199
21700198,1610612743,1610612743,2017-11-13,0,L,82.0,88,22,14,10,0,80.64516129032258,101.68,1593.2806040070852,0,108.8441929097237,101.68,110.6727753506071
21700226,1610612743,1610612743,2017-11-17,0,W,146.0,88,22,14,10,1,143.58772619984265,101.68,1570.8002841694508,1,103.71709625165076,101.68,105.45954346867855
21700240,1610612743,1610612743,2017-11-19,0,L,109.0,88,22,14,10,0,107.19905586152636,101.68,1589.33820362696,0,110.96630169677657,101.68,112.83053556528246
21700251,1610612743,1610612743,2017-11-20,0,W,114.0,88,22,14,10,0,112.1164437450826,101.68,1547.199554070605,0,110.28134790854926,101.68,112.13407455341293
21700259,1610612743,1610612743,2017-11-22,0,L,95.0,88,22,14,10,0,93.43036978756884,101.68,1564.5876845570087,0,110.61500169700987,101.68,112.47333372551965
21700274,1610612743,1610612743,2017-11-24,0,W,104.0,88,22,14,10,1,102.28166797797009,101.68,1548.7389001545682,1,107.4905231680206,101.68,109.29636395724334
21700301,1610612743,1610612743,2017-11-28,0,L,77.0,88,22,14,10,0,75.72777340676632,101.68,1558.440588599928,0,106.54345858801142,101.68,108.33338869229
21700315,1610612743,1610612743,2017-11-30,0,W,111.0,88,22,14,10,1,109.16601101494885,101.68,1528.816465551385,1,100.94060673687595,101.68,102.63640893005544
21700332,1610612743,1610612743,2017-12-02,0,W,115.0,88,22,14,10,1,113.09992132179386,101.68,1530.5069819876383,1,102.43613478743467,101.68,104.15706185186353
21700347,1610612743,1610612743,2017-12-04,0,L,105.0,88,22,14,10,0,103.26514555468134,101.68,1539.9893893523533,0,104.37500506640907,101.68,106.1285051515247
21700360,1610612743,1610612743,2017-12-06,0,L,114.0,88,22,14,10,0,112.1164437450826,101.68,1506.7806052083445,0,104.17321242791313,101.68,105.92332239670203
21700370,1610612743,1610612743,2017-12-08,0,W,103.0,88,22,14,10,0,101.29819040125885,101.68,1491.276835048334,0,105.61743630376212,101.68,107.39180923366531
21700387,1610612743,1610612743,2017-12-10,0,L,116.0,88,22,14,10,0,114.08339889850512,101.68,1519.672042463926,0,104.83211886694333,101.68,106.59329846390798
21700398,1610612743,1610612743,2017-12-12,0,W,103.0,88,22,14,10,0,101.29819040125885,101.68,1507.399066471219,0,106.51416978177275,101.68,108.30360783410654
21700407,1610612743,1610612743,2017-12-13,0,L,118.0,88,22,14,10,0,116.05035405192761,101.68,1544.5976550909843,0,105.56580989440658,101.68,107.33931550063264
21700427,1610612743,1610612743,2017-12-15,0,W,117.0,88,22,14,10,1,115.06687647521636,101.68,1536.3167676414903,1,107.4720906503195,101.68,109.27762177324487
21700447,1610612743,1610612743,2017-12-18,0,L,94.0,88,22,14,10,0,92.44689221085758,101.68,1548.4789903189333,0,108.85296080030075,101.68,110.68169054174581
21700462,1610612743,1610612743,2017-12-20,0,L,104.0,88,22,14,10,1,102.28166797797009,101.68,1542.5563190663306,1,105.87003923858381,101.68,107.64865589779201
21700478,1610612743,1610612743,2017-12-22,0,W,102.0,88,22,14,10,0,100.3147128245476,101.68,1508.8831375734762,0,105.2176081002904,101.68,106.98526391637529
21700489,1610612743,1610612743,2017-12-23,0,W,96.0,88,22,14,10,0,94.41384736428009,101.68,1548.9190158230142,0,104.32617259560989,101.68,106.07885229521615
21700503,1610612743,1610612743,2017-12-26,0,W,107.0,88,22,14,10,1,105.23210070810384,101.68,1608.4612441922657,1,102.52393164445901,101.68,104.24633369608594
21700510,1610612743,1610612743,2017-12-27,0,L,125.0,88,22,14,10,0,122.93469708890636,101.68,1622.5892884677703,0,103.01632601966716,101.68,104.7470002967976
21700536,1610612743,1610612743,2017-12-30,0,L,102.0,88,22,14,10,1,100.3147128245476,101.68,1610.6910504071166,1,106.6378480322561,101.68,108.42936387919805
21700563,1610612743,1610612743,2018-01-03,0,W,134.0,88,22,14,10,1,131.78599527930763,101.68,1576.2034784261925,1,105.48818708540001,101.68,107.26038862843477
21700574,1610612743,1610612743,2018-01-05,0,W,99.0,88,22,14,10,1,97.36428009441383,101.68,1584.3195924933077,1,110.26960675701959,101.68,112.12213615053754
21700585,1610612743,1610612743,2018-01-06,0,L,98.0,88,22,14,10,0,96.38080251770259,101.68,1593.3804447971288,0,107.92318372745491,101.68,109.73629321407617
21700597,1610612743,1610612743,2018-01-08,0,L,114.0,88,22,14,10,0,112.1164437450826,101.68,1557.8315584053348,0,105.82456896204539,101.68,107.60242172060778
21700612,1610612743,1610612743,2018-01-10,0,L,97.0,88,22,14,10,1,95.39732494099134,101.68,1551.7592014125466,1,106.96854619532489,101.68,108.76561777140638
21700625,1610612743,1610612743,2018-01-12,0,W,87.0,88,22,14,10,1,85.56254917387884,101.68,1499.2017068835341,1,104.86468778544607,101.68,106.62641454024158
21700633,1610612743,1610612743,2018-01-13,0,L,80.0,88,22,14,10,0,78.67820613690007,101.68,1508.9464654806218,0,101.35520803788839,101.68,103.05797553292494
21700651,1610612743,1610612743,2018-01-16,0,W,105.0,88,22,14,10,1,103.26514555468134,101.68,1490.2634659064854,1,97.23211678316324,101.68,98.8656163451204
21700662,1610612743,1610612743,2018-01-17,0,L,104.0,88,22,14,10,0,102.28166797797009,101.68,1498.5982202854789,0,98.32903110525743,101.68,99.9809588278258
21700671,1610612743,1610612743,2018-01-19,0,L,100.0,88,22,14,10,1,98.3477576711251,101.68,1490.6519245626207,1,99.04769235484154,101.68,100.71169358640292
21700694,1610612743,1610612743,2018-01-22,0,W,104.0,88,22,14,10,1,102.28166797797009,101.68,1450.546968106688,1,98.92043150325672,101.68,100.58229475251149
21700712,1610612743,1610612743,2018-01-25,0,W,130.0,88,22,14,10,1,127.8520849724626,101.68,1464.1818964497127,1,99.53156540775007,101.68,101.2036957066003
21700730,1610612743,1610612743,2018-01-27,0,W,91.0,88,22,14,10,1,89.49645948072383,101.68,1477.9473199888616,1,104.68075078315235,101.68,106.43938739630934
21700743,1610612743,1610612743,2018-01-29,0,L,110.0,88,22,14,10,1,108.1825334382376,101.68,1484.004296535517,1,101.91997054634716,101.68,103.63222605152582
21700750,1610612743,1610612743,2018-01-30,0,L,104.0,88,22,14,10,0,102.28166797797009,101.68,1476.8253052879866,0,103.05861834487268,101.68,104.79000313306658
21700765,1610612743,1610612743,2018-02-01,0,W,127.0,88,22,14,10,1,124.90165224232888,101.68,1471.2957714455858,1,102.91735464179949,101.68,104.64636619978175
21700782,1610612743,1610612743,2018-02-03,0,W,115.0,88,22,14,10,1,113.09992132179386,101.68,1487.8822212737552,1,106.91449966007757,101.68,108.71066325436689
21700794,1610612743,1610612743,2018-02-05,0,W,121.0,88,22,14,10,1,119.00078678206137,101.68,1517.8428585315266,1,108.03912178038962,101.68,109.85417902630019
21700823,1610612743,1610612743,2018-02-09,0,L,104.0,88,22,14,10,0,102.28166797797009,101.68,1538.8861116936234,0,110.0321517806936,101.68,111.88069193060925
21700832,1610612743,1610612743,2018-02-10,0,W,123.0,88,22,14,10,0,120.96774193548386,101.68,1530.2847984808502,0,108.62297290747114,101.68,110.44783885231666
21700852,1610612743,1610612743,2018-02-13,0,W,117.0,88,22,14,10,1,115.06687647521636,101.68,1542.7291424070697,1,110.86747636710982,101.68,112.73004997007727
21700865,1610612743,1610612743,2018-02-15,0,W,134.0,88,22,14,10,0,131.78599527930763,101.68,1556.0710222586115,0,111.63100365949283,101.68,113.50640452097232
21700880,1610612743,1610612743,2018-02-23,0,W,122.0,88,22,14,10,1,119.9842643587726,101.68,1591.7734216958252,1,115.29554759036826,101.68,117.23251278988644
21700896,1610612743,1610612743,2018-02-25,0,L,114.0,88,22,14,10,1,112.1164437450826,101.68,1598.1131429671493,1,116.14804154825995,101.68,118.09932864627072
21700912,1610612743,1610612743,2018-02-27,0,L,120.0,88,22,14,10,1,118.01730920535012,101.68,1585.1435556073495,1,115.41502376586406,101.68,117.3539961651306
21700931,1610612743,1610612743,2018-03-02,0,W,108.0,88,22,14,10,0,106.2155782848151,101.68,1571.1476378986097,0,115.88816657304335,101.68,117.8350877714705
21700937,1610612743,1610612743,2018-03-03,0,W,126.0,88,22,14,10,0,123.91817466561761,101.68,1579.1198331326796,0,114.12951415700186,101.68,116.04688999483949
21700961,1610612743,1610612743,2018-03-06,0,L,107.0,88,22,14,10,0,105.23210070810384,101.68,1603.210545919354,0,115.90927061311382,101.68,117.85654635941412
21700970,1610612743,1610612743,2018-03-07,0,L,108.0,88,22,14,10,1,106.2155782848151,101.68,1565.0542668789349,1,113.9679669940211,101.68,115.88262883952063
21700983,1610612743,1610612743,2018-03-09,0,W,125.0,88,22,14,10,1,122.93469708890636,101.68,1536.1479387264083,1,112.55844177416546,101.68,114.44942359597142
21700996,1610612743,1610612743,2018-03-11,0,W,130.0,88,22,14,10,1,127.8520849724626,101.68,1553.3643772199468,1,114.44503364957289,101.68,116.36771021488572
21701015,1610612743,1610612743,2018-03-13,0,L,103.0,88,22,14,10,0,101.29819040125885,101.68,1560.5911446709338,0,116.88267934464376,101.68,118.84630835763376
21701026,1610612743,1610612743,2018-03-15,0,W,120.0,88,22,14,10,1,118.01730920535012,101.68,1544.368227485887,1,114.04913590039195,101.68,115.96516138351852
21701040,1610612743,1610612743,2018-03-17,0,L,94.0,88,22,14,10,0,92.44689221085758,101.68,1550.848881199711,0,114.77062195583888,101.68,116.69876840469698
21701054,1610612743,1610612743,2018-03-19,0,L,141.0,88,22,14,10,0,138.6703383162864,101.68,1512.1693320910192,0,110.71176200220592,101.68,112.571719603843
21701069,1610612743,1610612743,2018-03-21,0,W,135.0,88,22,14,10,0,132.76947285601887,101.68,1497.0434497302617,0,115.79513951385691,101.68,117.74049785768973
21701079,1610612743,1610612743,2018-03-23,0,W,108.0,88,22,14,10,0,106.2155782848151,101.68,1522.5451090546824,0,118.88138193970454,101.68,120.8785891562916
21701105,1610612743,1610612743,2018-03-26,0,L,104.0,88,22,14,10,0,102.28166797797009,101.68,1554.0424468964716,0,116.57850854790647,101.68,118.53702749151131
21701109,1610612743,1610612743,2018-03-27,0,L,110.0,88,22,14,10,0,108.1825334382376,101.68,1540.4202708551563,0,113.97908298973621,101.68,115.8939315839638
21701133,1610612743,1610612743,2018-03-30,0,W,126.0,88,22,14,10,0,123.91817466561761,101.68,1534.773269945813,0,112.92516488946373,101.68,114.82230765960676
